userid,list_id,category,list_type,title,description,source_url,list_photo,,,,,,,
TimeOut Chicago,118,Food,number,The Best Rooftop Restaurants in Chicago,"The best rooftop restaurants offer both great food and city views, whether you're gazing at views of the Chicago Loop or glimpses at neighborhood architecture. From one of the best Italian restaurants in the city to a spot for brunch in Chicago, here's where to head this summer.",https://www.timeout.com/chicago/restaurants/best-rooftop-restaurants,https://media.timeout.com/images/101508121/1372/772/image.jpg,,,,,,,
Care,119,Pets,number,9 of the Best Pets for Kids,Here's everything you need to know about nine animals that make perfect family pets!,https://www.care.com/c/stories/6050/9-of-the-best-pets-for-kids/,https://cdn.kinsights.com/cache/94/c9/94c9b486ad26f5cde2188dcbfe64f73e.jpg,,,,,,,
NPR,120,Music,number,Guitar Greats,We've curated a Spotify playlist of great guitarists and guitar solos to celebrate the glory of an instrument whose origins have been traced back to as early as the eighth century.,http://www.npr.org/sections/world-cafe/2017/04/15/523966063/celebrate-international-guitar-month-with-these-guitar-greats,http://media.npr.org/assets/img/2017/04/14/jimi_wide-89198c93566604bed1472e70fceb2ac50cf13b3c-s1500-c85.jpg,,,,,,,
AFAR,121,Food,number,11 Crazy Hot Dogs to Try in the United States,"In the past decade, old-school wieners have gotten a millennial makeover. Creative cooks around the country are vying to outdo one another when it comes to internationally influenced toppings, unique meat makeup, and the freshest bun selection. ",https://www.afar.com/slideshows/11-crazy-hot-dogs-to-try-in-the-united-states,https://afar-production.imgix.net/uploads/slideshow/slides/images/pWGY72x965/original_Doggy-style.jpg?1490286536?ixlib=rails-0.3.0&bg=fafafa&fit=fill&h=488&w=650&dpr=2,,,,,,,
LiveCareer,122,Career,number,How a Great Resume Can Change Your Job Search,"You got a haircut, bought a new interview suit, and invested in some business cards to give out as you network with people. You took the time to worry about the icing, but did you also make sure to take care of the cake? A great resume is the foundation to any job search and it can also decide whether or not you get the job you are looking for.",https://www.livecareer.com/resume-tips,https://cdn-us-ec.yottaa.net/52e2a59b63e31e54d4003d89/www.livecareer.com/v~13.44c/images/uploaded/articles/resume-tips.jpg?yocs=p_&yoloc=us,,,,,,,
TravelingMom,123,Travel,bullet,Family Beach Vacation Packing List,"Raise your hand if you’re the CEO of packing in your house! Whether you wanted that  title or not, chances are you’re the one who takes on the packing responsibilities when it’s vacation time. Make sure you don’t forget anything with this list.",https://www.travelingmom.com/packing/family-beach-vacation-packing-list/,https://27s2ym2rovnf2lsmdx18fml1-wpengine.netdna-ssl.com/wp-content/uploads/2014/02/Beach-packing-list-graphic.jpg,,,,,,,
Travel Channel,124,Travel,number,Top 8 Family Vacations in America,"Family-friendly resorts provide a multitude of options so that parents can entertain their kids, relax with their spouses, and enjoy the fabulous North American outdoors. We've left no stone unturned as we unearthed these amazing resorts filled with off-the-chart family fun. Let the games begin!",http://www.travelchannel.com/interests/family/photos/top-family-vactions-in-america,http://travel.home.sndimg.com/content/dam/images/travel/fullset/2014/12/2/top-10-family-spring-break-vacations-hilton-waikoloa-village.jpg.rend.hgtvcom.966.725.jpeg,,,,,,,
Travel Channel,125,Travel,number,Top U.S. Water Parks,"Get wet and wild! Put on your swimsuit and splash around at the best water parks in the US, including Schlitterbahn, Water Country USA and Dollywood Splash Country.",http://www.travelchannel.com/interests/amusement-parks/photos/top-us-water-parks,http://travel.home.sndimg.com/content/dam/images/travel/fullset/2014/03/24/15/us-waterparks_ss_012.rend.hgtvcom.966.544.jpeg,,,,,,,
Parents,126,Kids,number,13 Throwback Games & Toys Your Kids Will Love,"Today, many retailers' shelves are filled with throwback toys that you can share with your kids. Check out the modern take on these toys.",http://www.parents.com/fun/games/family/throwback-games-toys-your-kiddo-will-love/,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/throwback_games_12.jpg,,,,,,,
Parents,127,Kids,number,11 Activities to Encourage Creativity,"A child's education stretches far beyond a classroom; it extends into the environments where she lives and plays. These activities, designed for children ages 4 and up, are fun ways to develop your child's artistic learning and encourage her to think in a more challenging and creative manner.",http://www.parents.com/fun/activities/indoor/activities-to-encourage-creativity/?slideId=44541,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/images/550_101615988.jpg,,,,,,,
PopSugar,128,Career,number,5 Ways to Curb Your Work-Related Anxiety,"Whether you're intimidated by your boss or feeling like you've just got way too much on your plate, you'll want to find some ways to manage your stress so that it's not debilitating.",https://www.popsugar.com/career/How-Can-I-Curb-My-Anxiety-Work-43567528,https://media1.popsugar-assets.com/files/thumbor/57uuglTKzqr_2OC09SRB53Cc7Zo/fit-in/2048xorig/filters:format_auto-!!-:strip_icc-!!-/2017/05/23/759/n/42301552/0b7cbe2f0ad5c337_workplace.jpg,,,,,,,
Real Simple,129,Kids,number,4 Healthy Lunch Ideas for Kids,Kids cannot live on bread (slathered with PB and J) alone. Here are four healthy new ideas to avenge lunchtime boredom.,https://www.realsimple.com/food-recipes/recipe-collections-favorites/quick-easy/lunch-ideas-for-kids,https://cdn-image.realsimple.com/sites/default/files/styles/portrait_435x518/public/avocado-rollups.jpg?itok=GwdAOHoB,,,,,,,
SeatGeek,130,Music,number,The Best Music Festivals in 2017,"Check out our ever-growing, always-updating, comprehensive directory of music festivals!",https://seatgeek.com/tba/festivals/music-festivals/,https://chairnerd.global.ssl.fastly.net/tba/wp-content/uploads/2013/07/houston-music-festivals-67297-e1402422776235.jpg,,,,,,,
Cozi,131,Home,number,6 Steps to Creating a Budget,"Creating an effective budget that lasts can be a challenge. Let’s face it. Budgets can be exhausting and intimidating, but they are an essential component of a family’s healthy financial plan.",http://www.cozi.com/blog/6-steps-creating-budget/#addtocozi,http://www.cozi.com/wp-content/uploads/2016/03/FamilyPiggyBanks.jpg,,,,,,,
Fuse,132,Music,number,25 Music Festivals You Need to Attend ,"Festival season is coming soon and we have all the details you need to know about Coachella, Bonnaroo, Warped Tour, Voodoo, ACL, Lollapalooza and each major music event in North America this year.",http://www.fuse.tv/2017/01/best-music-festivals-2017,http://www.fuse.tv/image/5875417aabea28df05000039/816/545/undefined.jpg,,,,,,,
Cozi,133,Kids,bullet,Spring Cleaning Chore List for the Kids,"Need a great idea for getting the kids to help on spring cleaning day without the drama? Hand over a list of “to dos” and have the kids check off as they go. Once everything is checked, then they are free to play.",http://www.cozi.com/blog/spring-cleaning-chore-list-kids/#addtocozi,http://www.cozi.com/wp-content/uploads/2016/01/kidsrainboots580.jpg,,,,,,,
Real Simple,134,Home,number,An 8-Point Guide to a Feng Shui House,Each spot in your home is associated with a different aspect of your life. Here’s a beginner’s guide to cultivating positive energy in every zone.,https://www.realsimple.com/home-organizing/decorating/feng-shui-house,https://cdn-image.realsimple.com/sites/default/files/feng-shui.jpg,,,,,,,
Entrepreneur,135,Career,number,5 Best Online Businesses to Start This Year ,The internet provides a number of opportunities for aspiring entrepreneurs.,https://www.entrepreneur.com/article/294938,https://assets.entrepreneur.com/content/16x9/822/20170525203410-GettyImages-645793121.jpeg,,,,,,,
PetMD,136,Pets,bullet,Puppy Checklist: Getting off to a Great Start,"Few events are as exciting in life as the addition of a new furry friend. With a new pet comes great responsibility, and great mountains of puppy supplies. Preparation is the key to a successful transition.",http://www.petmd.com/dog/care/evr_dg_new_puppy_supplies_puppy_checklist#,http://www.petmd.com/sites/default/files/new-puppy-checklist.jpg,,,,,,,
Oprah,137,Pets,bullet,10 Reasons Pets Are Good for Kids,"There are so many benefits that pets provide for kids! It's easy for kids to get wrapped up in the idea of owning a new pet, but it's up to their parents to make sure the experience is a positive one and that the pets receive the care they need for their entire lives.",http://www.oprah.com/relationships/10-reasons-pets-are-good-for-kids,http://static.oprah.com/images/relationships/201006/20100608-child-and-pet-220x312.jpg,,,,,,,
Entrepreneur,138,Career,number,The 15 Best Freelance Websites to Find Jobs,"Whether you’re looking for another way to pay the bills, seeking more professional development opportunities or just love the freedom that freelancing offers, there’s no question that millions of people have discovered the benefits of professional freelancing.",https://www.entrepreneur.com/article/245953,https://assets.entrepreneur.com/content/3x2/274/20170420203636-GettyImages-494940062.jpeg,,,,,,,
American Kennel Club,139,Pets,number,12 Very Useful Dog Training Tips,Helpful dog training tips for everyone.,http://www.akc.org/content/dog-training/articles/12-useful-dog-training-tips/,http://cdn.akc.org/content/hero/12_training_tips_hero.jpg,,,,,,,
Real Simple,140,Home,number,21 Ideas for Organizing Your Home Office,Trying to carve out a neat space of your own? Find inspiration in these ideas.,https://www.realsimple.com/home-organizing/organizing/organizing-home-office/organized-home-office,https://cdn-image.realsimple.com/sites/default/files/styles/portrait_435x518/public/office-after.jpg?itok=uOJw9yDa,,,,,,,
ThoughtCo,141,Music,bullet,How to Choose a Musical Instrument to Play,"Many adults, especially those who enjoy instrumental and acoustic music, would like to learn to play a musical instrument, but are intimidated by the prospect -- where to start? The good news is that in a lot of ways, it's simpler to pick an instrument as an adult -- you know your tastes, and you have access to a much wider range of instruments, teachers, and options.",https://www.thoughtco.com/choose-a-musical-instrument-to-play-3552861,https://fthmb.tqn.com/vnLn8gorBEY-gMr_f29I78JZ_MU=/768x0/filters:no_upscale()/about/ManPlayingUkulele-58d982143df78c516248a197.jpg,,,,,,,
startups.co,142,Career,number,7 Ways to Make the Most of Your Business Day,"If you remember to take notes, streamline and use your time wisely, you’ll see your time management — and outlook — improve.",https://www.startups.co/articles/7-ways-make-business-day,https://d3o1wlpkmt4nt9.cloudfront.net/wp-content/uploads/2015/01/Clockcloseup.jpg,,,,,,,
Uberchord,143,Music,number,10 Tips To Learn How to Play the Guitar with Good Technique,Learn how to play the guitar with good technique from the start.,https://www.uberchord.com/blog/10-tips-technique-how-to-play-the-guitar/,https://www.uberchord.com/wp-content/uploads/2015/05/Guitar-Technique-1024x683.jpg,,,,,,,
AFAR,144,Travel,number,12 Amazing Adventures in U.S. National Parks,"Now is the time to hit the road and explore the natural world preserved in the U.S. national park system. From Maine to California, there are parks for all travelers. Immerse yourself by camping and hiking, or just get a taste of the wilderness in the form of a glamorous old national park lodge and a leisurely stroll or day drive.",https://www.afar.com/travel-tips/12-amazing-adventures-in-us-national-parks,https://afar-production.imgix.net/uploads/images/post_images/images/T7H2xT1oxW/original_open-uri20120810-14820-10ls9gg?1383794099?ixlib=rails-0.3.0&crop=top&fit=crop&h=300&w=400&dpr=2,,,,,,,
Real Simple,145,Home,bullet,Host a Pool Party,"Nothing says summer quite like a pool party. Dive into these quick, delicious, and creative ideas.",https://www.realsimple.com/holidays-entertaining/entertaining/food-drink/host-dipping-party,https://cdn-image.realsimple.com/sites/default/files/styles/landscape_564x495/public/image/images/photo-gallery/children-swimming_gal.jpg?itok=IZ_Xlw95,,,,,,,
ASPCA,146,Pets,number,Pet Travel Safety Tips,"For some pet parents, a trip is no fun if the four-legged members of the family can’t come along. But traveling can be highly stressful, both for you and your pets. If you’re planning to take a trip with pets in tow, we have some tips to help ensure a safe and comfortable journey for everyone.",https://www.aspca.org/pet-care/general-pet-care/travel-safety-tips,https://www.aspca.org/sites/default/files/pet-care_travel-safety-tips_main-image.jpg,,,,,,,
Parents ,147,Travel,number,8 All-American Drives With Google Maps,Parents Magazine teamed up with Google Maps to create family-friendly road trips to some of the app’s most-searched summer destinations and attractions. Tthere’s never been a better way to see the country.,http://www.parents.com/fun/vacation/us-destinations/all-american-drives-with-google-maps/,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/mostovyi_sergii_igorevich.jpg,,,,,,,
HGTV,148,Home,number,7 Quick Tips for Organizing Your Bedroom,Try these seven bedroom organizing tips that are sure to help you rest easy.,http://www.hgtv.com/design/decorating/clean-and-organize/quick-tips-for-organizing-bedrooms,http://hgtvhome.sndimg.com/content/dam/images/hgtv/fullset/2014/5/16/1/DS_Raymour-Flanigan-Bedroom_h.jpg.rend.hgtvcom.616.462.jpeg,,,,,,,
Parents,149,Kids,number,20 All-Time Favorite Childhood Toys,"Kids love and learn from these classic toys, all of which are recommended by our exclusive panel of academics, retailers, and toy reviewers.",http://www.parents.com/fun/toys/kid-toys/all-time-favorite-childhood-toys/,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/103008785.jpg,,,,,,,
Travel Channel,150,Travel,number,Top 10 Hawaiian Beaches,"Whether you are searching for gleaming white sands, turquoise waters or the best surf, Hawaii’s tropical oases have something for everyone. Escape to paradise and tour our top 10 Hawaiian beaches.",http://www.travelchannel.com/interests/beaches/photos/top-10-hawaiian-beaches,http://travel.home.sndimg.com/content/dam/images/travel/fullset/2014/12/2/top-hawaiian-beaches-lanikai-oahu.jpg.rend.hgtvcom.966.725.jpeg,,,,,,,
Real Simple,151,Home,number,How to Speed-Clean Your Kitchen,"The best time-saving tips, techniques, and to-do lists for polishing off the kitchen.",https://www.realsimple.com/home-organizing/how-to-speed-clean-your-kitchen,https://cdn-image.realsimple.com/sites/default/files/styles/rs_main_image/public/image/images/home-organizing/organizing/0210/kitchen-wash-basin_300.jpg?itok=Bwi0VTkQ,,,,,,,
PureWow,152,Food,number,The 7 Best Patios for Drinking Outside in Chicago,"It’s almost summertime, and we want to shout it from the rooftops. So, don’t mind if we do. With balmy weather finally upon us, it’s time to pour a stiff cocktail and cheers to one of Chicago’s greatest warm-weather traditions: drinking outside. Here are the hottest patios and rooftop spaces in seven neighborhoods.",https://www.purewow.com/food/best-chicago-rooftop-bars,"https://purewows3.imgix.net/images/articles/2016_04/patio2.png?auto=format,compress&cs=strip",,,,,,,
PureWow,153,Home,number,"5 Easy Ways to Clean Your Home, Even If You Have No Time"," To make housework feel less overwhelming, here are five cleaning tricks that all take less than ten minutes.",https://www.purewow.com/home/clean-home-in-under-10-minutes?dclid=COqb6an0n9QCFRY7TwodGPUD5w,"https://purewows3.imgix.net/images/articles/2017_03/basket_method.jpg?auto=format,compress&cs=strip",,,,,,,
PureWow,154,Kids,number,11 Dreamy Bedroom Ideas for a Little Girl,"When you were a kid, you dreamed of a canopied princess bed covered in fairy lights. How beyond fun is it, then, that those girlhood dreams can live on through your mini-me? Prepare yourself for cuteness overload.",https://www.purewow.com/home/room-decorating-ideas-girls-room,"https://purewows3.imgix.net/images/articles/2017_05/Little_Girl_Room_Ideas_11.jpg?auto=format,compress&cs=strip",,,,,,,
Richmond Mom,155,Kids,number,7 Gender-Neutral Birthday Party Ideas,We’ve gathered together a bunch of gender neutral birthday party ideas for the under 3 crowd.,https://richmondmom.com/2014/03/17/7-beautiful-gender-neutral-birthday-party-ideas/,https://18vi1n40obrku6xfb34e3uj4dx-wpengine.netdna-ssl.com/wp-content/uploads/2014/03/monkey-theme-party.jpg,,,,,,,
CafeMom,156,Music,number,10 Splashy Songs to Play at Your Next Pool Party,"Summer's not gonna be here forever, people. We have to seize the warmest days of the year! Here, 10 tracks you can't miss when building the ultimate pool party playlist.",http://thestir.cafemom.com/home_garden/139027/10_splashy_songs_to_play,http://ugc-01.cafemomstatic.com/gen/constrain/500/500/80/2012/06/14/10/d3/80/polwhf75wg.jpg,,,,,,,
